ubigeo;Region;Province;District;Area;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;153.78;17447;17907.61321;18382.91671;18873.92323;19381.72453;19907.49992;20452.52398;21018.17175;21605.91996;22217.34222;22854.0964;23517.90251;24210.50992;24933.65365;25689;26487.33511;27338.10312;28240.41501;29192.92659;30194.01641;31241.93812;32334.93627;33471.32118;34649.5042;35868;37125.4063
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;25.71;305;306.052735;306.898685;307.5562422;308.0444398;308.3828773;308.5916267;308.691103;308.7018842;308.6444656;308.5389406;308.404609;308.2595207;308.1199746;308;307.5667088;306.5167521;304.9055876;302.789327;300.2265097;297.2791161;294.0128017;290.4964673;286.8013695;283;279.1649602
10103;AMAZONAS;CHACHAPOYAS;BALSAS;357.09;1140;1190.705033;1238.463088;1282.942855;1323.862525;1360.993181;1394.160741;1423.246391;1448.185467;1468.964811;1485.618686;1498.223437;1506.891138;1511.762583;1513;1509.213693;1499.04797;1482.769906;1460.708726;1433.259575;1400.881816;1364.091822;1323.451192;1279.551886;1233;1184.399779
10104;AMAZONAS;CHACHAPOYAS;CHETO;56.97;606;607.1100097;608.3186916;609.6270398;611.0362921;612.5480094;614.164097;615.8867363;617.718187;619.6604301;621.7146283;623.8803958;626.1548899;628.5317589;631;633.9412004;637.673851;642.0816507;647.0437906;652.4393514;658.1506043;664.06514;670.0769092;676.0863688;682;687.7295009
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;143.43;1269;1254.258981;1236.958903;1217.389049;1195.840699;1172.603074;1147.959663;1122.184895;1095.541153;1068.276093;1040.620281;1012.785162;984.9614115;957.3177086;930;902.2457686;873.3717187;843.6103058;813.1805106;782.2936066;751.1558393;719.9684522;688.925811;658.2124753;628;598.4440924
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;278.63;2238;2244.135133;2248.972338;2252.633059;2255.242286;2256.928196;2257.821657;2258.055457;2257.763132;2257.077304;2256.127463;2255.037186;2253.920875;2252.880133;2252;2247.282392;2235.226337;2216.66704;2192.465478;2163.50647;2130.692957;2094.936556;2057.145551;2018.212033;1979;1940.336015
10107;AMAZONAS;CHACHAPOYAS;GRANADA;181.41;551;538.1182862;526.4412037;515.9039948;506.4491672;498.0260199;490.5901873;484.103175;478.5318612;473.8479414;470.027301;467.0493053;464.8960103;463.5513036;463;463.5108091;465.3085691;468.3146933;472.4556447;477.6649243;483.8843195;491.0644143;499.1644384;508.1515904;518;528.6895162
10108;AMAZONAS;CHACHAPOYAS;HUANCAS;48.79;461;484.9425092;509.6309355;535.0792084;561.3036161;588.323193;616.1600835;644.8398321;674.3915311;704.8477509;736.2441698;768.6188279;802.0109468;836.4592799;872;908.7670857;946.8366544;986.1333592;1026.558813;1067.998519;1110.328372;1153.420143;1197.145622;1241.379335;1286;1330.891062
10109;AMAZONAS;CHACHAPOYAS;LA JALCA;380.39;5397;5479.828414;5550.780018;5610.455802;5659.577903;5698.972888;5729.55479;5752.308034;5768.270303;5778.515425;5784.1364;5786.228761;5785.874591;5784.127633;5782;5755.221423;5682.74053;5570.930893;5426.651344;5256.926104;5068.664432;4868.428836;4662.258472;4455.55074;4253;4058.588652
10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;373.14;3800;3870.986715;3935.166083;3992.587987;4043.364067;4087.663987;4125.710876;4157.775814;4184.171225;4205.243096;4221.362008;4232.913112;4240.285299;4243.859978;4244;4238.698552;4225.79504;4205.388421;4177.595341;4142.585954;4100.607786;4051.997018;3997.1784;3936.656313;3871;3800.826096
